id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,cluster,distance,distance_to_user
949967573130954121,Rental unit in Vancouver · ★5.0 · 3 bedrooms · 4 beds · 2 baths,529673428,Kayla,,Downtown,49.28546169552028,-123.12189773095648,entire home/apt,168.0,1,5,2023-11-05,1.9,1,308,5,23-986772,5.0,2,37.999146013099875,37.999146013099875
914167814583406410,Rental unit in Vancouver · ★New · 1 bedroom · 2 beds · 1 bath,520109966,Farah,,Downtown,49.285579674305815,-123.1221502376846,entire home/apt,120.0,2,0,,,1,138,0,23-241350,4.799709437963944,2,58.367558942982086,58.367558942982086
42937545,Rental unit in Vancouver · ★4.92 · 1 bedroom · 2 beds · 1 bath,225163010,Vivi,,Downtown,49.28595,-123.12252,entire home/apt,199.0,6,24,2023-07-22,0.54,6,82,2,22-157483,4.92,2,100.63284911796794,100.63284911796794
19859843,Condo in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,3667230,Tina & Trevor,,West End,49.28455,-123.12204,entire home/apt,125.0,29,6,2023-10-19,0.11,1,180,4,19-105587,5.0,2,109.98107693032725,109.98107693032725
19073601,Rental unit in Vancouver · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,133164169,Xerxes,,Downtown,49.28631,-123.12253,Shared room,100.0,30,33,2017-08-12,0.42,1,179,0,,4.82,2,128.06403872094137,128.06403872094137
620232534582512418,Condo in Vancouver · ★4.92 · 1 bedroom · 2 beds · 1 bath,39189964,Joey,,Downtown,49.28618,-123.12278,entire home/apt,172.0,2,86,2023-11-27,4.8,1,5,57,CF-2022-004720,4.92,2,131.05671788624764,131.05671788624764
17438123,Condo in Vancouver · ★4.84 · Studio · 2 beds · 1 bath,117882824,Steph,,West End,49.28441,-123.12249,entire home/apt,169.0,30,211,2023-11-27,2.59,1,313,16,21-156683,4.84,2,140.1053982781849,140.1053982781849
34203078,Condo in Vancouver · ★4.76 · 1 bedroom · 3 beds · 1 bath,258206915,Gloria,,Downtown,49.28618,-123.12312,entire home/apt,153.0,2,344,2023-11-27,6.12,1,58,91,22-156706,4.76,2,151.0301571837522,151.0301571837522
538075693317179216,Condo in Vancouver · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,135667259,Mohsin,,Downtown,49.28623,-123.12309,private room,107.0,3,73,2023-12-13,3.16,4,61,36,23-157805,4.84,2,152.35246062407563,152.35246062407563
629184820595960637,Condo in Vancouver · 1 bedroom · 1 bed · 1 private bath,135667259,Mohsin,,Downtown,49.28652,-123.12268,private room,85.0,30,1,2022-08-13,0.06,4,73,0,23-157805,4.799709437963944,2,153.00497012867254,153.00497012867254
980372945052153975,Rental unit in Vancouver · ★4.67 · 1 bedroom · 1 bed · 1 bath,536871978,Ivan,,Downtown,49.28498264533503,-123.119335547381,entire home/apt,170.0,1,3,2023-12-11,2.0,4,49,3,23-123004,4.67,2,156.38281003947498,156.38281003947498
24372539,Condo in Vancouver · ★4.86 · 1 bedroom · 1 bed · 1 bath,156808817,Persia,,Downtown,49.28614,-123.12327,entire home/apt,134.0,1,317,2023-11-23,4.62,1,0,58,23-156360,4.86,2,158.01645653237128,158.01645653237128
47585339,Rental unit in Vancouver · ★4.88 · 1 bedroom · 2 beds · 1 bath,384155665,Veronica,,West End,49.28406,-123.12215,entire home/apt,189.0,1,42,2023-01-27,1.24,1,70,4,21-216145,4.88,2,163.3051037104437,163.3051037104437
50468520,Condo in Vancouver · ★4.74 · 1 bedroom · 2 beds · 1 bath,407738972,Ima,,Downtown,49.28677,-123.12261,entire home/apt,140.0,1,142,2023-11-07,4.8,1,155,42,23-157446,4.74,2,173.00721136757022,173.00721136757022
1273760,Boutique hotel in Vancouver · ★4.86 · 1 bedroom · 2 beds · 1 private bath,6033,Cam,,Downtown,49.28478,-123.1192,private room,183.0,2,583,2023-11-27,4.59,2,301,64,,4.86,2,173.9397508805841,173.9397508805841
537282821502227729,Condo in Vancouver · ★4.77 · 1 bedroom · 1 bed · 1 private bath,135667259,Mohsin,,Downtown,49.28621,-123.1235,private room,105.0,3,56,2023-11-25,2.46,4,0,35,23-157805,4.77,2,176.3730578281837,176.3730578281837
635735633811950757,Condo in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,74533333,Ke,,West End,49.28554916381836,-123.12384796142578,entire home/apt,160.0,30,5,2023-09-09,0.3,3,89,2,,5.0,2,179.78593507652693,179.78593507652693
53172876,Condo in Vancouver · ★4.67 · 1 bedroom · 1 bed · 1 bath,74533333,Ke,,West End,49.28555679321289,-123.12384796142578,entire home/apt,179.0,30,3,2022-08-31,0.16,3,179,0,,4.67,2,179.84577316963558,179.84577316963558
707477055866962652,Condo in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,74533333,Ke,,West End,49.2855514,-123.1238497,entire home/apt,139.0,30,3,2023-08-20,0.24,3,134,2,,5.0,2,179.92885683654572,179.92885683654572
1009661423646818476,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 shared bath,135667259,Mohsin,,Downtown,49.28664,-123.12314,private room,85.0,30,0,,,4,269,0,,4.799709437963944,2,185.0021886054209,185.0021886054209
776514171059457790,Rental unit in Vancouver · ★4.86 · 2 bedrooms · 2 beds · 2 baths,264405694,Ryan,,Downtown,49.28649,-123.12338,entire home/apt,172.0,2,58,2023-12-05,4.81,3,0,58,Exempt,4.86,2,186.57080244653832,186.57080244653832
49855529,Rental unit in Vancouver · ★4.60 · 1 bedroom · 1 bed · 1 bath,402069521,Wallace,,West End,49.28603,-123.12383,entire home/apt,168.0,1,143,2023-11-15,4.88,2,65,35,23-157420,4.6,2,189.807558094369,189.807558094369
12210228,Aparthotel in Vancouver · ★4.79 · 1 bedroom · 1 bed · 1 bath,2693243,John,,Downtown,49.28622,-123.119,entire home/apt,150.0,1,63,2022-11-21,0.85,5,0,0,Exempt,4.79,2,192.91887456035155,192.91887456035155
35194928,Rental unit in Vancouver · ★4.83 · 1 bedroom · 2 beds · 1 bath,99230711,Elitza,,West End,49.28572,-123.12401,entire home/apt,154.0,3,92,2023-11-26,1.67,1,259,33,23-156918,4.83,2,193.65914519735688,193.65914519735688
641935676868138681,Condo in Vancouver · ★4.88 · 1 bedroom · 2 beds · 1 bath,459370539,Mateusz,,Downtown,49.28692,-123.12281,entire home/apt,120.0,3,60,2023-12-06,3.34,1,328,38,22-860852,4.88,2,194.82386628879027,194.82386628879027
